"astro-ph/9801234","Wayne Hu","Wayne Hu (IAS, Princeton)","Structure Formation with Generalized Dark Matter","13 pages, 10 figures, accepted to ApJ. Typo in eqn (A8) corrected","Astrophys.J.506:485-494,1998","10.1086/306274",,"astro-ph",,"  The next generation of cosmic microwave background (CMB) experiments, galaxy
surveys, and high-redshift observations can potentially determine the nature of
the dark matter observationally. With this in mind, we introduce a
phenomenological model for a generalized dark matter (GDM) component and
discuss its effect on large-scale structure and CMB anisotropies. Specifying
the gravitational influence of the otherwise non-interacting GDM requires not
merely a model for its equation of state but one for its full stress tensor.
  From consideration of symmetries, conservation laws, and gauge invariance, we
construct a simple but powerful 3 component parameterization of these stresses
that exposes the new phenomena produced by GDM. Limiting cases include: a
particle component (e.g. WIMPS, radiation or massive neutrinos), a cosmological
constant, and a scalar field component. Intermediate cases illustrate how the
clustering properties of the dark matter can be specified independently of its
equation of state. This freedom allows one to alter the amplitude and features
in the matter power spectrum relative to those of the CMB anisotropies while
leaving the background cosmology fixed. Conversely, observational constraints
on such properties can help determine the nature of the dark matter.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 16:15:48 GMT""},{""version"":""v2"",""created"":""Tue, 26 May 1998 17:32:50 GMT""}]","2008-11-26"
"astro-ph/9801237","Mordecai-Mark Mac Low","Mordecai-Mark Mac Low (MPI Astronomy, Heidelberg) and Andrea Ferrara
  (JILA, Boulder & Arcetri, Florence)","Starburst-driven Mass Loss from Dwarf Galaxies: Efficiency and Metal
  Ejection","24 pages, 9 figures, uses AASTeX v4.0, full-resolution figures
  available from http://www.mpia-hd.mpg.de/theory/preprints.html#maclow Revised
  version includes minor changes to reply to referee (including explanation of
  why multiple clusters are less efficient at blowing away gas than single
  cluster) and to correct a minor error in computation. No new conclusions, but
  tables and figures have changed quantitatively","Astrophys.J. 513 (1999) 142","10.1086/306832",,"astro-ph",,"  We model the effects of repeated supernova explosions from starbursts in
dwarf galaxies on the interstellar medium of these galaxies, taking into
account the gravitational potential of their dominant dark matter haloes. We
explore supernova rates from one every 30,000 yr to one every 3 million yr,
equivalent to steady mechanical luminosities of L=0.1-10 x 10^38 ergs/s,
occurring in dwarf galaxies with gas masses M_g=10^6 - 10^9 solar masses. We
address in detail, both analytically and numerically, the following three
questions:
  1. When do the supernova ejecta blow out of the disk of the galaxy?
  2. When blowout occurs, what fraction of the interstellar gas is blown away,
escaping the potential of the galactic halo?
  3. What happens to the metals ejected from the massive stars of the
starburst? Are they retained or blown away?
  We give quantitative results for when blowout will or will not occur in
galaxies with 10^6 \leq M_g \leq 10^9 solar masses. Surprisingly, we find that
the mass ejection efficiency is very low for galaxies with mass M_g \geq 10^7
solar masses. Only galaxies with M_g \leq 10^6 solar masses have their
interstellar gas blown away, and then virtually independently of L. On the
other hand, metals from the supernova ejecta are accelerated to velocities
larger than the escape speed from the galaxy far more easily than the gas. We
find that for L_38=1, only about 30% of the metals are retained by a 10^9 solar
mass galaxy, and virtually none by smaller galaxies. We discuss the
implications of our results for the evolution, metallicity and observational
properties of dwarf galaxies.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 20:00:46 GMT""},{""version"":""v2"",""created"":""Sun, 9 Aug 1998 17:03:29 GMT""}]","2016-08-30"
"astro-ph/9801238","Shude Mao","X.-Y. Xia, Th. Boller, H. Wu, Z.-G. Deng, Y. Gao, Z.-L. Zou, Shude
  Mao, G. Borner","An X-ray Luminous, Dwarf Seyfert Companion of Mrk 273","15 pages, 2 figures, ApJ Letters, in press",,"10.1086/311243",,"astro-ph",,"  We report the discovery of the brightest X-ray source hosted by a faint
(M_B=-16) dwarf galaxy in the immediate vicinity of the ultraluminous IRAS
merging galaxy Mrk 273. The dwarf galaxy, 1.3 arcmin away from Mrk 273, is at
the tip of a faint northeast plume of Mrk 273. Its spectrum exhibits strong
[OIII], Halpha, [NII] emission lines, which establish the redshift of the dwarf
galaxy, $z=0.0376$, the same as that of Mrk 273. The emission line ratios are
typical of Seyfert galaxies. The X-ray emission is consistent with a point-like
source coincident with the center of the dwarf galaxy. The intrinsic X-ray
luminosity, 6.3x10^{41} ergs, in the 0.1--2.4 keV energy range, is about seven
times larger than the B band luminosity. The X-ray spectrum of the source can
be fit with a power-law. All the evidence is consistent with the source being a
Seyfert galaxy. It is mysterious why out of $\sim 10$ faint objects in the same
field only one is detected by ROSAT and its ratio of soft X-ray to optical
luminosity is as high as those for BL Lac objects and few active galactic
nuclei (AGNs). If there is a population of such dwarf AGNs hidden as companions
of major merger galaxies (such as Mrk 273), they may contribute to the
luminosity function of AGNs and the cosmic X-ray background at the faint end.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 21:55:16 GMT""}]","2009-10-30"
"astro-ph/9801239","Armen Sedrakian","Armen Sedrakian (Cornell)","Neutron-Phonon Interaction in Neutron Star Crusts","5 pages, Latex, 3 figures; published in Proc. Int. Workshop Hirshegg
  '98, Nuclear Astrophysics, eds. M. Buballa, W. Noerenberg, J. Wambach, A.
  Wirzba, p. 54",,,,"astro-ph",,"  The phonon spectrum of Coulomb lattice in neutron star crusts above the
neutron drip density is affected by the interaction with the ambient neutron
Fermi-liquid. For the values of the neutron-phonon coupling constant in the
range $0.1 \le \lambda \le 1$ an appreciable renormalization of the phonon
spectrum occurs which can lead to a lattice instability manifested in an
exponential growth of the density fluctuations. The BCS phonon exchange
mechanism of superconductivity leads to neutron pairing with a gap in the
neutron excitation spectrum comparable to that due to the direct nuclear
interaction.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 22:52:27 GMT""},{""version"":""v2"",""created"":""Thu, 23 Apr 1998 15:27:20 GMT""}]","2007-05-23"
"astro-ph/9801240","Tariq Shahbaz","T. Shahbaz, J.R. Thorstensen, P.A. Charles and N.D. Sherman","Aquila X--1: a low inclination soft X-ray transient","4 pages text, 3 figures, to appear in MNRAS",,"10.1046/j.1365-8711.1998.01474.x",,"astro-ph",,"  We have obtained I-band photometry of the neutron star X-ray transient Aql
X--1 during quiescence. We find a periodicity at 2.487 cd-1, which we interpret
as twice the orbital frequency (19.30+/-0.05 h). Folding the data on the
orbital period, we model the light curve variations as the ellipsoidal
modulation of the secondary star. We determine the binary inclination to be
20--31 degrees (90 per cent confidence) and also 95 per cent upper limits to
the radial velocity semi-amplitude and rotational broadening of the secondary
star to be 117 kms-1 and 50 kms-1 respectively.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 22:56:54 GMT""}]","2009-10-30"
"astro-ph/9801241","Mitsunori Araki","M. Araki, H. Ozeki and S. Saito (The Graduate University for Advanced
  Studies and Institute for Molecular Science, Myodaiji, Okazaki, Japan)","Laboratory Measurement of the Pure Rotational Transitions of the HCNH+
  and its Isotopic Species","14 pages in TeX, 1 figures in JPEG",,"10.1086/311245",,"astro-ph",,"  The pure rotational transitions of the protonated hydrogen cyanide ion,
HCNH+, and its isotopic species, HCND+ and DCND+, were measured in the 107 -
482 GHz region with a source modulated microwave spectrometer. The ions were
generated in the cell with a magnetically confined dc-glow discharge of HCN
and/or DCN. The rotational constant B0 and the centrifugal distortion constant
D0 for each ion were precisely determined by a least-squares fitting to the
observed spectral lines. The observed rotational transition frequencies by
laboratory spectroscopy and the predicted ones are accurate in about 30 to 40
kHz and are useful as rest frequencies for astronomical searches of HCNH+ and
HCND+.
","[{""version"":""v1"",""created"":""Sun, 25 Jan 1998 07:07:58 GMT""}]","2009-10-30"
"cond-mat/9801255","T. M. Nieuwenhuizen","Zh.S. Gevorkian and Th.M. Nieuwenhuizen","Interference phenomena in radiation of a charged particle moving in a
  system with one-dimensional randomness","9 pages Revtex. Submitted to Phys. Rev. E",,,,"cond-mat.dis-nn",,"  The contribution of interference effects to the radiation of a charged
particle moving in a medium of randomly spaced plates is considered. In the
angular dependent radiation intensity a peak appears at angles
$\theta\sim\pi-\gamma^{-1}$, where $\gamma$ is the Lorentz factor of the
charged particle.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 17:03:54 GMT""}]","2007-05-23"
"cond-mat/9801256",,"L.L. Bonilla, M. Kindelan, P. J. Hernando","On the Photorefractive Gunn Effect","Revtex, 8 pag., 4 fig. (jpg), submit to Physical Review B",,"10.1103/PhysRevB.58.7046",,"cond-mat",,"  We present and numerically solve a model of the photorefractive Gunn effect.
We find that high field domains can be triggered by phase-locked interference
fringes, as it has been recently predicted on the basis of linear stability
considerations. Since the Gunn effect is intrinsically nonlinear, we find that
such considerations give at best order-of-magnitude estimations of the
parameters critical to the photorefractive Gunn effect. The response of the
system is much more complex including multiple wave shedding from the injecting
contact, wave suppression and chaos with spatial structure.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 19:03:31 GMT""}]","2009-10-31"
"cond-mat/9801257","Alexandr M. Glukhov","A. M. Glukhov, A. S. Pokhila, I. M. Dmitrenko, A. E. Kolinko and A. P.
  Panchekha","Superconducting Quantum Interference in Fractal Percolation Films.
  Problem of 1/f Noise","17 pages, 13 eps-figures, Latex; title page and figures included","Physica B 240 (1997) 242","10.1016/S0921-4526(97)00437-7","FTINT-98-04","cond-mat.supr-con cond-mat.dis-nn",,"  An oscillatory magnetic field dependence of the DC voltage is observed when a
low-frequency current flows through superconducting Sn-Ge thin-film composites
near the percolation threshold. The paper also studies the experimental
realisations of temporal voltage fluctuations in these films. Both the
structure of the voltage oscillations against the magnetic field and the time
series of the electric ""noise"" possess a fractal pattern. With the help of the
fractal analysis procedure, the fluctuations observed have been shown to be
neither a noise with a large number of degrees of freedom, nor the realisations
of a well defined dynamic system. On the contrary the model of voltage
oscillations induced by the weak fluctuations of a magnetic field of arbitrary
nature gives the most appropriate description of the phenomenon observed. The
imaging function of such a transformation possesses a fractal nature, thus
leading to power-law spectra of voltage fluctuations even for the simplest
types of magnetic fluctuations including the monochromatic ones. Thus, the
paper suggests a new universal mechanism of a ""1/f noise"" origin. It consists
in a passive transformation of any natural fluctuations with a fractal-type
transformation function.
","[{""version"":""v1"",""created"":""Sat, 24 Jan 1998 19:48:19 GMT""},{""version"":""v2"",""created"":""Wed, 18 Feb 1998 13:14:23 GMT""},{""version"":""v3"",""created"":""Thu, 19 Feb 1998 10:13:29 GMT""}]","2009-10-31"
"cond-mat/9801258","Greg Eyink","Francis J. Alexander (Boston University) and Gregory L. Eyink
  (University of Arizona)","Shape-Dependent Thermodynamics and Non-Local Hydrodynamics in a
  Non-Gibbsian Steady-State of a Drift-Diffusion System","4 pages, Latex Version 2.09, 1 Postscript figure",,"10.1103/PhysRevE.57.R6229",,"cond-mat.stat-mech physics.chem-ph physics.flu-dyn",,"  Shape-dependent thermodynamics and non-local hydrodynamics are argued to
occur in dissipative steady states of driven diffusive systems. These
predictions are confirmed by numerical simulations. Unlike power-law
correlations, these phenomena cannot be explained by a hypothesis of
``criticality''. Instead, they require the effective Hamiltonian of the system
to contain very long-range potentials, making the invariant probability
measures formally ``non-Gibbsian''.
","[{""version"":""v1"",""created"":""Sun, 25 Jan 1998 02:49:44 GMT""}]","2009-10-31"
