"cond-mat/9802231","Ivan Smirnov","I. L. Drichko, A. M. D'yakonov, V. D. Kagan, A. M. Kreshchuk, T. A.
  Polyanskaya, I. G. Savel'ev, I. Yu. Smirnov, and A. V. Suslov","Heating of a two-dimensional electron gas by the electric field of a
  surface acoustic wave","some technical corrections for pictures were made",,,,"cond-mat.mes-hall",,"  The heating of a two-dimensional electron gas by an rf electric field
generated by a surface acoustic wave, which can be described by an electron
temperature $T_e$, has been investigated. It is shown that the energy balance
of the electron gas is determined by electron scattering by the piezoelectric
potential of the acoustic phonons with $T_e$ determined from measurements at
frequencies $f$= 30 and 150 MHz. The experimental curves of the energy loss $Q$
versus $T_e$ at different SAW frequencies depend on the value of $\omega
\bar{\tau}_{\epsilon}$, compared to 1, where $ \bar {\tau}_{\epsilon}$ is the
relaxation time of the average electron energy. Theoretical calculations of the
heating of a two-dimensional electron gas by the electric field of the surface
acoustic wave are presented for the case of thermal electrons ($\Delta T \ll
T$). The calculations show that for the same energy losses $Q$ the degree of
heating of the two-dimensional electrons (i.e., the ratio $T_e/T$) for $\omega
\bar{\tau}_{\epsilon}>1$ ($f$= 150 MHz) is less than for $\omega
\bar{\tau}_{\epsilon}<1$ ($f$=30 MHz). Experimental results confirming this
calculation are presented.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 1998 17:13:39 GMT""},{""version"":""v2"",""created"":""Wed, 4 Mar 1998 15:30:46 GMT""}]","2007-05-23"
"cond-mat/9802232","Thessieu Christophe","K. Nishikido, C. Thessieu, G-q. Zheng, Y. Kitaoka, K. Asayama, R.
  Hauser","Pressure Effect on the Spin Fluctuations in YMn$_2$ --Mn NQR Study--","8 pages, 3 figures","Proc. Joint Conf.: AIRAPT-16 & HPCJ-38 (Kyoto 1997), To be
  published in the Review of High Pressure Science and Technology",,,"cond-mat.str-el",,"  We report the NQR study on the pressure-induced paramagnetic state in the
antiferromagnetic (AF) intermetallic compound YMn$_2$ with the N\'eel
temperature T_N=100 K at ambient pressure. From the $T$ variation of the
nuclear spin-lattice relaxation rate, $^{55}(1/T_1)$ of $^{55}$Mn above the
critical pressure of 4 kbar, the spin fluctuation feature is found to change
below a temperature $T_{sf}$. At higher temperature than $T_{sf}$, the nuclear
relaxation behavior is well described in terms of the self-consistent
renomalized (SCR) spin fluctuation theory for nearly AF metals, whereas below
$T_{sf}$ a deviation is significant and $1/T_1T$ exhibits a weak $T$ variation.
It is pointed out that $T_{sf}$ coincides with the temperature below which a
$T^{2}$ law in electrical resistivity is valid as expected for a Fermi liquid
ground state. We proposed that these features are understood from the
standpoint that the development of AF spin fluctuation remains in short-range
associated with the singlet formation among Mn spins in each tetrahedron as
suggested by the inelastic neutron experiments on $Y_{1-x}Sc_xMn_2$.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 02:48:33 GMT""}]","2007-05-23"
"gr-qc/9802057","Bozhidar Zakhariev Iliev","Bozhidar Z. Iliev (Institute for Nuclear Research and Nuclear Energy,
  Bulgarian Academy of Sciences, Sofia, Bulgaria)","On one connection between Lorentzian and Euclidean metrics","21 standard (11pt, A4) LaTeX 2e pages. The packages AMS-LaTeX and
  amsfonts are required. Revised: all proofs are significantly simplified and
  new material is added","Journal of Geomery and Physics, vol.34 No.3-4, 2000, pp. 321-335","10.1016/S0393-0440(99)00074-1",,"gr-qc math-ph math.DG math.MP",,"  We investigate connections between pairs of (pseudo-)Riemannian metrics whose
sum is a (tensor) product of a covector field with itself. A bijective mapping
between the classes of Euclidean and Lorentzian metrics is constructed as a
special result. The existence of such maps on a differentiable manifold is
discussed. Similar relations for metrics of arbitrary signature on a manifold
are considered. We point the possibility that any physical theory based on real
Lorentzian metric(s) can be (re)formulated equivalently in terms of real
Euclidean metric(s).
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 13:15:13 GMT""},{""version"":""v2"",""created"":""Tue, 29 Sep 1998 10:13:56 GMT""},{""version"":""v3"",""created"":""Tue, 16 Feb 1999 09:16:56 GMT""}]","2007-05-23"
"gr-qc/9802058","Bozhidar Zakhariev Iliev","Bozhidar Z. Iliev (Institute for Nuclear Research and Nuclear Energy,
  Bulgarian Academy of Sciences, Sofia, Bulgaria)","On metric-connection compatibility and the signature change of
  space-time","18 standard LaTeX 2e pages. The packages AMS-LaTeX and amsfonts are
  required","Physica Scripta, vol.66, No.6, pp.401-409, 2002","10.1238/Physica.Regular.066a00401",,"gr-qc math-ph math.DG math.MP",,"  We discuss and investigate the problem of existence of metric-compatible
linear connections for a given space-time metric which is, generally, assumed
to be semi-pseudo-Riemannian. We prove that under sufficiently general
conditions such connections exist iff the rank and signature of the metric are
constant. On this base we analyze possible changes of the space-time signature.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 13:15:57 GMT""}]","2009-10-31"
"hep-ex/9802019","Tapan K. Nayak","Tapan K. Nayak (for the WA98 Collaboration)","Present Status and Future of DCC Analysis","12 pages, 5 figures. Invited talk presented at the 13th International
  Conference on Ultrarelativistic Nucleus-Nucleus Collisions (Quark Matter 97),
  Tsukuba, Japan, 1-5 Dec 1997","Nucl.Phys. A638 (1998) 249c-260c","10.1016/S0375-9474(98)00358-3","VECC-NEX-01","hep-ex",,"  Disoriented Chiral Condensates (DCC) have been predicted to form in high
energy heavy ion collisions where the approximate chiral symmetry of QCD has
been restored. This leads to large imbalances in the production of charged to
neutral pions. Sophisticated analysis methods are being developed to
disentangle DCC events out of the large background of events with
conventionally produced particles. We present a short review of current
analysis methods and future prospects.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 08:00:21 GMT""}]","2019-08-14"
"hep-ex/9802020","Suleimanov Mais Kazim ogly","M. K. Suleimanov, O. B. Abdinov, A.I.Anoshin, J. Bogdanowicz, A. A.
  Kuznetsov","Inverses of slopes of invariant inclusive spectra of emitted protons and
  pi minus mesons in 4HeC and 12CC interactions with the total disintegration
  of nuclei","14 pages",,,"JINR Communication E1-97-178","hep-ex",,"  The ideas that extreme states of nuclear matter arise in events with total
dis- integration of nuclei (TDN) and as these states arise, the properties of
events qualitatively change with the number of protons emitted from the nucleus
Q,star- ting from its certain boundary numbe Q*,are used in this paper for the
experi- mentally search for extreme states of nuclear matter. For realization
of these ideas, the invariant inclusive spectra of protons and pi minus mesons
as a func- tion of their kinetic energies T in the lab. system for 4HeC and
12CC interacti- ons at the momentum 4.2 A GeV/c with different values of Q are
used. The spect- ra are fitted by the exponential expressions and the
Q-dependencies of the in- verses of slopes Ti are studied. It is found that
these spectra have two compo- nents and contain the regime change points .In
the TDN region the values of Ti for pi minus mesons begin to increase with
increasing the number of protons. We consider this increasing to be a signal
from the extreme states of nuclear mat- ter. The value of the ""temperature"" of
these states is about 0.140 GeV.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 09:00:28 GMT""}]","2007-05-23"
"hep-ph/9802388",,"Z. Chacko and R. N. Mohapatra","Supersymmetric $SU(2)_L\times SU(2)_R \times SU(4)_c$ and observable
  neutron-antineutron oscillation","4 pages; one figure; Preprint No. UMD-PP-98-94","Phys.Rev. D59 (1999) 055004","10.1103/PhysRevD.59.055004",,"hep-ph",,"  We show that in a large class of supersymmetric $SU(2)_L\times SU(2)_R\times
SU(4)_c$ models with the see-saw mechanism for neutrino masses and an R-parity
conserving vacuum, there are diquark Higgs bosons with masses ($M_{qq}$) near
the weak scale even though the scale of $SU(2)_R\times SU(4)_c$ symmetry
breaking is around $10^{10}$ GeV. This happens because these masses ($M_{qq}$)
arise out of higher dimensional operators needed to stabilize the charge
conserving vacuum in the model. This feature has the interesting implication
that the $\Delta B=2$ processes such as neutron-anti-neutron oscillation can
have observable rates while at the same time yielding neutrino masses in the
range of current interest.
","[{""version"":""v1"",""created"":""Sat, 21 Feb 1998 16:46:11 GMT""}]","2009-10-31"
"hep-ph/9802389","Wei Zheng-Tao","Dong-Sheng Du, Zheng-Tao Wei","Space-like Penguin Effects in $B_{c}$ Decays","Latex, 13 pages, with 2 figures and 2 tables","Eur.Phys.J.C5:705-709,1998","10.1007/s100520050313",,"hep-ph",,"  The space-like penguin contributions to branching ratios and CP asymmetries
in charmless decays of $B_{c}$ to two pseudoscalar mesons are studied using the
next-to-leading order low energy effective Hamiltonian and factorization
approximation. Both the gluonic penguin and the electroweak penguin diagrams
are considered. In addition the annihilation diagram contributions are also
taken in account. We find that the space-like penguin effects are significant.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 11:48:48 GMT""}]","2011-09-13"
"hep-th/9802152","Ichiro Oda","Ichiro Oda (Edogawa Univ.)","Path Integral Equivalence between Super D-string and IIB Superstring","9 pages, LaTex, replaced by a revised version","Phys.Lett. B430 (1998) 242-247","10.1016/S0370-2693(98)00530-9","EDO-EP-19","hep-th",,"  We show that the super D-string action is exactly equivalent to the IIB
Green-Schwarz superstring action with some ""theta term"" in terms of the path
integral. Since the ""theta term"" imposes the Gauss law constraint on the
physical state but contributes to neither the mass operator nor the constraints
associated with the kappa symmetry and the reparametrization, this exact
equivalence implies that the impossibility to disentangle the first and second
class fermionic constraints covariantly in the super D-string action is
generally inherited from the IIB Green-Schwarz superstring action except
specific gauge choices which make the ground state massive, such as the static
gauge. Moreover, it is shown that if the electric field is quantized to be
integers, the super D-string action can be transformed to the IIB Green-Schwarz
superstring action with $SL(2, Z)$ covariant tension.
","[{""version"":""v1"",""created"":""Sun, 22 Feb 1998 03:34:01 GMT""},{""version"":""v2"",""created"":""Sun, 8 Mar 1998 02:02:04 GMT""}]","2009-10-31"
"math/9802103","Fritz Gesztesy","Fritz Gesztesy, Nigel J. Kalton, Konstantin A. Makarov, and Eduard
  Tsekanovskii","Some Applications of Operator-Valued Herglotz Functions","LaTeX",,,,"math.FA",,"  We consider operator-valued Herglotz functions and their applications to
self-adjoint perturbations of self-adjoint operators and self-adjoint
extensions of densely defined closed symmetric operators. Our applications
include model operators for both situations, linear fractional transformations
for Herglotz operators, results on Friedrichs and Krein extensions, and
realization theorems for classes of Herglotz operators. Moreover, we study the
concrete case of Schr\""odinger operators on a half-line and provide two
illustrations of Livsic's result [44] on quasi-hermitian extensions in the
special case of densely defined symmetric operators with deficiency indices
(1,1).
","[{""version"":""v1"",""created"":""Sat, 21 Feb 1998 23:15:08 GMT""}]","2007-05-23"
