"astro-ph/9809065","Henry E. Kandrup","Henry E. Kandrup (University of Florida)","Phase Space Transport in Noisy Hamiltonian Systems","13 pages, 3 Postscript figures, latex, no macors. Annals of the New
  York Academy of Sciences, in press",,"10.1111/j.1749-6632.1998.tb11267.x",,"astro-ph",,"  This paper analyses the effect of low amplitude friction and noise in
accelerating phase space transport in time-independent Hamiltonian systems that
exhibit global stochasticity. Numerical experiments reveal that even very weak
non-Hamiltonian perturbations can dramatically increase the rate at which an
ensemble of orbits penetrates obstructions like cantori or Arnold webs, thus
accelerating the approach towards an invariant measure, i.e., a
near-microcanonical population of the accessible phase space region. An
investigation of first passage times through cantori leads to three
conclusions, namely: (i) that, at least for white noise, the detailed form of
the perturbation is unimportant, (ii) that the presence or absence of friction
is largely irrelevant, and (iii) that, overall, the amplitude of the response
to weak noise scales logarithmically in the amplitude of the noise.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 16:28:26 GMT""}]","2009-10-30"
"astro-ph/9809066","Judith G. Cohen","Judith G.Cohen, David W. Hogg, Michael A. Pahre, Roger Blandford,
  Patrick L. Shopbell and Kevin Richberg","Caltech Faint Galaxy Redshift Survey VII: Data Analysis Techniques and
  Redshifts in the Field J0053+1234","20 pages, Latex, 3 figures, accepted for publication in the ApJ
  Supplements",,"10.1086/313184",,"astro-ph",,"  We present the techniques used to determine redshifts and to characterize the
spectra of objects in the Caltech Faint Galaxy Redshift Survey in terms of
spectral classes and redshift quality classes. These are then applied to
spectra from an investigation of a complete sample of objects with $K_s<20$ mag
in a 2 by 7.3 arcmin^2 field at J005325+1234. Redshifts were successfully
obtained for 163 of the 195 objects in the sample; these redshifts lie in the
range [0.173, 1.44] and have a median of 0.58 (excluding 24 Galactic stars).
The sample includes two broad lined AGNs and one QSO.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 16:06:45 GMT""}]","2009-10-30"
"astro-ph/9809067","Judith G. Cohen","Judith G. Cohen, Roger Blandford, David W. Hogg, Michael A. Pahre, and
  Patrick L. Shopbell","Caltech Faint Galaxy Redshift Survey VIII: Analysis for the Field
  J0053+1234","42 pages, Latex, 11 figures, accepted for publication in the
  Astrophysical Journal (abstract exceeds allocated space and was truncated)",,"10.1086/306778",,"astro-ph",,"  The results of a spectroscopic investigation of a complete sample of objects
with $K_s<20$ mag in a 2 by 7.3 arcmin field at J005325+1234 are reported.
Redshifts were successfully obtained for 163 of the 195 objects in the sample;
these redshifts lie in the range [0.173, 1.44] and have a median of 0.58
(excluding 24 Galactic stars). The redshift identifications are believed to be
almost complete for $z < 0.8$. Approximately half of the galaxies lie in five
narrow redshift features with local velocity dispersions of $ \sim 300 km/s$.
These narrow redshift ``peaks'' are primarily populated both by
absorption--line galaxies and the most luminous galaxies in the sample,
although the incidence of emission lines in the luminous galaxies increases
with redshift. The estimated dynamical masses of these redshift peaks, and the
sky distribution of the galaxies within them, appear similar to groups or poor
clusters of galaxies in the local universe at various stages of virialization.
Some groups of galaxies therefore form at epochs $z > 1.5$, and the galaxies in
such groups appear to be coeval and to show little sign of ongoing star
formation. The galaxies outside the redshift peaks are also clustered, albeit
more weakly, are less luminous and more frequently exhibit strong emission
lines. These ``isolated'' galaxies therefore appear, on average, to form stars
at later epochs than the strongly clustered galaxies. The galaxy SEDs derived
from our $UBVRIK$ photometry are also very closely correlated with the galaxy
spectral types and luminosities. These results have strong implications for the
analysis of redshift surveys at intermediate redshift.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 16:27:02 GMT""}]","2009-10-30"
"astro-ph/9809068","Alison L. Coil","Alison L. Coil (1,2) and Paul T.P. Ho (1) ((1) Harvard-Smithsonian
  Center for Astrophysics, (2) Astronomy Dept., University of California,
  Berkeley)","Infalling Gas Towards the Galactic Center","11 pages, 10 figures, accepted by The Astrophysical Journal (figure 1
  contours have been corrected)","ApJ, 513, 752 (1999)","10.1086/306875",,"astro-ph",,"  VLA maps of ammonia emission were made for the Galactic Center region. The
NH3(1,1) and NH3(2,2) transitions were observed in three 2' x 2' fields
covering Sgr A* and the region 3' immediately south of it. In the central 3
parsecs surrounding Sgr A* we find emission which appears to be associated with
the circumnuclear disk (CND), both morphologically and kinematically. This
central emission is connected to a long, narrow 2 pc x 10 pc streamer of clumpy
molecular gas located towards the south, which appears to be carrying gas from
the nearby 20 km/s giant molecular cloud (GMC) to the circumnuclear region. We
find a velocity gradient along the streamer, with progressively higher
velocities as the gas approaches Sgr A*. The streamer stops at the location of
the CND, where the line width of the NH3 emission increases dramatically. This
may be the kinematic signature of accretion onto the CND. The ratio of the
NH3(2,2)/NH3(1,1) emission indicates that the gas is heated at the northern tip
of the streamer, located inside the eastern edge of the CND. The morphology,
kinematics and temperature gradients of the gas all indicate that the southern
streamer is located at the Galactic Center and is interacting with the
circumnuclear region.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 20:35:58 GMT""},{""version"":""v2"",""created"":""Fri, 16 Oct 1998 01:20:01 GMT""}]","2019-04-22"
"cond-mat/9809100","Michael Baake","Michael Baake, Franz G\""ahler","Symmetry Structure of the Elser-Sloane Quasicrystal","5 pages, 1 figure; to appear in: Aperiodic 97, eds. M. de Boissieu,
  J. L. Verger-Gaugry and R. Currat, World Scientific, Singapore (1998), in
  press","Aperiodic 97, eds. M. de Boissieu et al., World Scientific,
  Singapore (1998), pp. 63-67.",,,"cond-mat math.CO math.MG",,"  The 4D quasicrystal of Elser and Sloane, obtained from the root lattice E8 by
the cut-and-project method, can be parametrized by the points of an 8D torus.
This allows for an explicit analysis of its point and inflation symmetry
structure.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 16:50:09 GMT""}]","2007-05-23"
"hep-ph/9809283","Matthias Burkardt","Bob Klindworth and Matthias Burkardt (NMSU)","The $Q\bar{Q}$ Potential in the Color-Dielectric Formulation of the
  Transverse Lattice","Talk given at ``Quark Confinement and the hadron spectrum III'',
  Newport News, VA, June 1998; 4 pages, 3 figures, worldsci.sty",,,,"hep-ph",,"  The $Q\bar{Q}$ potential is calculated in the Color-Dielectric Formulation of
Transverse Lattice QCD. In such a formulation an effective potential is used to
enforce the $SU(N_c)$ symmetry of the link fields. This effective potential is
truncated at fourth order. Surprisingly, there is striking rotational
invariance in the ground state $Q\bar{Q}$ potential as well as in the first
hybrid mode.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 19:09:59 GMT""}]","2007-05-23"
"math/9809023","Dan Abramovich","Dan Abramovich and Kenji Matsuki","Uniformity of stably integral points on principally polarized abelian
  surfaces","Latex 2e, 21 pages",,,,"math.AG math.NT",,"  We prove, assuming that the conjecture of Lang and Vojta holds true, that
there is a uniform bound on the number of stably integral points in the
complement of the theta divisor on a principally polarized abelian surface
defined over a number field. This gives a uniform version, in the spirit of a
result of Caporaso-Harris-Mazur, of an unconditional theorem of Faltings. We
utilize recent results of Alexeev and Nakamura on complete moduli for
quasi-abelian varieties. We expect that a thorough understanding of current
work of Alexeev should give a more general result for abelian varieties of an
arbitrary dimension with a polarizing divisor of an arbitrary degree - a
proposed approach for such a generalization is given at the end of the paper.
","[{""version"":""v1"",""created"":""Sat, 5 Sep 1998 18:50:29 GMT""}]","2007-05-23"
"math/9809024","Seok-Jin Kang","Leonid A. Bokut, Seok-Jin Kang, Kyu-Hwan Lee, Peter Malcolmson","Gr\""obner-Shirshov Bases for Lie Superalgebras and Their Universal
  Enveloping Algebras","36 pages",,,,"math.RT",,"  We show that a set of monic polynomials in the free Lie superalgebra is a
Gr\""obner-Shirshov basis for a Lie superalgebra if and only if it is a
Gr\""obner-Shirshov basis for its universal enveloping algebra. We investigate
the structure of Gr\""obner-Shirshov bases for Kac-Moody superalgebras and give
explicit constructions of Gr\""obner-Shirshov bases for classical Lie
superalgebras.
","[{""version"":""v1"",""created"":""Sun, 6 Sep 1998 04:20:31 GMT""}]","2007-05-23"
"math/9809025","Seok-Jin Kang","Seok-Jin Kang, Jae-Hoon Kwon","Graded Lie Superalgebras, Supertrace Formula, and Orbit Lie
  Superalgebras","54 pages",,,,"math.RT",,"  Let $\Gamma$ be a countable abelian semigroup and $A$ be a countable abelian
group satisfying a certain finiteness condition. Suppose that a group $G$ acts
on a $(\Gamma \times A)$-graded Lie superalgebra ${\frak
L}=\bigoplus_{(\alpha,a) \in \Gamma\times A} {\frak L}_{(\alpha,a)}$ by Lie
superalgebra automorphisms preserving the $(\Gamma\times A)$-gradation. In this
paper, we show that the Euler-Poincar\'e principle yields the generalized
denominator identity for ${\frak L}$ and derive a closed form formula for the
supertraces $\text{str}(g|{\frak L}_{(\alpha,a)})$ for all $g\in G$,$(\alpha,a)
\in \Gamma\times A$. We discuss the applications of our supertrace formula to
various classes of infinite dimensional Lie superalgebras such as free Lie
superalgebras and generalized Kac-Moody superalgebras. In particular, we
determine the decomposition of free Lie superalgebras into a direct sum of
irreducible $GL(n) \times GL(k)$-modules, and the supertraces of the Monstrous
Lie superalgebras with group actions. Finally, we prove that the generalized
characters of Verma modules and the irreducible highest weight modules over a
generalized Kac-Moody superalgebra ${\frak g}$ corresponding to the Dynkin
diagram automorphism $\sigma$ are the same as the usual characters of Verma
modules and irreducible highest weight modules over the orbit Lie superalgebra
$\breve{\frak g}={\frak g}(\sigma)$ determined by $\sigma$.
","[{""version"":""v1"",""created"":""Sun, 6 Sep 1998 04:58:45 GMT""}]","2016-09-07"
"math/9809026","Seok-Jin Kang","Georgia Benkart, Seok-Jin Kang, Hyeonmi Lee, Kailash C. Misra, Dong-Uy
  Shin","The Polynomial Behavior of Weight Multiplicities for the Affine
  Kac-Moody Algebras $A^{(1)}_r$","29 pages",,,,"math.RT",,"  We prove that the multiplicity of an arbitrary dominant weight for an
integrable highest weight representation of the affine Kac-Moody algebra
$A_{r}^{(1)}$ is a polynomial in the rank $r$. In the process we show that the
degree of this polynomial is less than or equal to the depth of the weight with
respect to the highest weight. These results allow weight multiplicity
information for small ranks to be transferred to arbitrary ranks.
","[{""version"":""v1"",""created"":""Sun, 6 Sep 1998 05:40:35 GMT""}]","2007-05-23"
