"adap-org/9807002","Satoshi Sawai","Satoshi Sawai and Yoji Aizawa","Coupled Oscillators with Chemotaxis","4 pages, 5 figures, latex using jpsj.sty and epsf.sty, to appear in
  J. Phys. Soc. Jpn. 67 (1998)",,"10.1143/JPSJ.67.2557",,"adap-org nlin.AO q-bio",,"  A simple coupled oscillator system with chemotaxis is introduced to study
morphogenesis of cellular slime molds. The model successfuly explains the
migration of pseudoplasmodium which has been experimentally predicted to be
lead by cells with higher intrinsic frequencies. Results obtained predict that
its velocity attains its maximum value in the interface region between total
locking and partial locking and also suggest possible roles played by partial
synchrony during multicellular development.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 12:28:24 GMT""}]","2009-10-30"
"astro-ph/9806365","Roeland van der Marel","R. P. van der Marel (STScI, Baltimore)","The black hole mass distribution in early-type galaxies: cusps in HST
  photometry interpreted through adiabatic black hole growth","41 pages, LaTeX, with 11 PostScript figures. Submitted to the
  Astronomical Journal. Postscript version also available from
  http://sol.stsci.edu/~marel/abstracts/abs_R23.html",,"10.1086/300730","1305 (STScI 1998)","astro-ph",,"  The surface brightness profiles of early-type galaxies have central cusps.
Two characteristic profile types are observed with HST: `core' profiles have a
break at a resolved radius and logarithmic cusp slope gamma < 0.3 inside that
radius; `power-law' profiles have no clear break and gamma > 0.3. With few
exceptions, galaxies with M_V < -22 have core profiles, and galaxies with M_V >
-20.5 have power-law profiles. Both profile types occur in galaxies with -22 <
M_V < -20.5. We show that these results are consistent with the hypothesis
that: (i) all early-type galaxies have black holes (BHs) that grew
adiabatically in homogeneous isothermal cores; and (ii) these `progenitor'
cores followed scaling relations similar to those of the fundamental plane.
  The models studied here are the ones first proposed by Young. Models with BH
masses and progenitor cores that obey established scaling relations predict (at
Virgo) that galaxies with M_V < -21.2 have core profiles and galaxies with M_V
> -21.2 have power-law profiles. This reproduces both the sense and the
absolute magnitude of the observed transition. Intrinsic scatter in BH and
galaxy properties can explain why both types of galaxies are observed around
the transition magnitude. The observed bimodality in cusp slopes may be due to
a bimodality in M_bh/L, with rapidly rotating disky galaxies having larger
M_bh/L than slowly rotating boxy galaxies.
  Application to individual galaxies with HST photometry yields a roughly
linear correlation between BH mass and V-band galaxy luminosity, log M_bh =
-1.83 + log L (solar units). This agrees with the average relation for nearby
galaxies with kinematically determined BH masses, and also with predictions
from quasar statistics (shortened abstract).
","[{""version"":""v1"",""created"":""Sat, 27 Jun 1998 20:06:39 GMT""}]","2009-10-30"
"astro-ph/9806366","Patrick S. Osmer","Patrick S. Osmer, Julia D. Kennefick, Patrick B. Hall, and Richard F.
  Green","A Deep Multicolor Survey. IV. The Electronic Stellar Catalog","10 pages, 3 figures, 3 tables, accepted for publication in ApJ
  Supplement",,"10.1086/313159",,"astro-ph",,"  We make available in electronic form the stellar catalog of 19,494 objects
from the Deep Multicolor Survey (DMS). The DMS is based on CCD imaging with the
Mayall 4-m telescope in U,B,V,R',I75,I86 and covers 0.83 sq. deg. in six fields
at high galactic latitude. The survey reached 5 sigma limiting magnitudes of
22.1 in I86 to 23.8 in B. The catalog gives positions, magnitudes and error
estimates, and classification codes in the six filter bands for all the
objects. We present tables that summarize the spectroscopic results for the 55
quasars, 44 compact narrow emission-line galaxies, and 135 stars in the DMS
that we have confirmed to date. We also make available illustrations of all the
spectra. The catalog and spectra can be obtained from the World Wide Web at
http://www.astronomy.ohio-state.edu/~posmer/DMS/.
","[{""version"":""v1"",""created"":""Sat, 27 Jun 1998 20:33:25 GMT""}]","2009-10-30"
"astro-ph/9806367","Gustavo A. Medina Tanco","Guillermo Tenorio-Tagle (INAOE, Mexico) and Gustavo Medina Tanco
  (Inst.Astron.e Geof.-USP-Brasil & Univ. of Leeds-UK)","Star clusters and the structure of the ISM. Tunnels and wakes in giant
  extragalactic HII regions","12 pages + 5 figures (GIF format) - Accepted for pub. in Astrophys.
  J. Letters",,"10.1086/311557",,"astro-ph",,"  Several structures have been discovered embedded in regions of recent or
ongoing star formation, which point to the importance of the interaction
between fast moving wind-blowing stars and their environment. Using
hydrodynamic simulations, we investigate the passage through the interstellar
medium of a supersonic stellar wind source, and show how it can naturally lead
to the formation of tubes, channels and swamps of globules as interfaces are
crossed. The results are in excellent agreement with observation of 30 Doradus.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 11:57:30 GMT""}]","2009-10-30"
"cond-mat/9806342","Victor B. Kurasov","V.Kurasov (St.Petersburg University)","Comment on the ""Density profiles in the theory of condensation"" (Physica
  A, 226 (1996) 117-136). Stationary profiles of the condensation","8 pages, LATEX",,,,"cond-mat.stat-mech",,"  Some simplifications of the theory of the density profiles of condensation
are discussed. The role of the additive effects is outlined.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 02:40:41 GMT""}]","2007-05-23"
"cond-mat/9806343","Shoji Yamamoto","Shoji Yamamoto","Novel Density-Wave States of Two-Band Peierls-Hubbard Chains","10 pages, 6 PS figures, to appear in Phys. Lett. A",,"10.1016/S0375-9601(98)00612-4",,"cond-mat.str-el",,"  Based on a symmetry argument we systematically reveal Hartree-Fock
broken-symmetry solutions of the one-dimensional two-band extended
Peierls-Hubbard model, which covers various materials of interest such as
halogen-bridged metal complexes and mixed-stack charge-transfer salts. We find
out all the regular-density-wave solutions with an ordering vector $q=0$ or
$q=\pi$. Changing band filling as well as electron-electron and electron-phonon
interactions, we numerically inquire further into the ground-state phase
diagram and the physical property of each state. The possibility of novel
density-wave states appearing is argued.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 07:22:42 GMT""}]","2009-10-31"
"cond-mat/9806344","Shoji Yamamoto","Shoji Yamamoto, Takahiro Fukui, Klaus Maisinger, and Ulrich
  Schollw\""ock","Combination of Ferromagnetic and Antiferromagnetic Features in
  Heisenberg Ferrimagnets","9 pages, 9 postscript figures, RevTex",,"10.1088/0953-8984/10/48/023",,"cond-mat.stat-mech",,"  We investigate the thermodynamic properties of Heisenberg ferrimagnetic
mixed-spin chains both numerically and analytically with particular emphasis on
the combination of ferromagnetic and antiferromagnetic features. Employing a
new density-matrix renormalization-group technique as well as a quantum Monte
Carlo method, we reveal the overall thermal behavior: At very low temperatures,
the specific heat and the magnetic susceptibility times temperature behave like
$T^{1/2}$ and $T^{-1}$, respectively, whereas at intermediate temperatures,
they exhibit a Schottky-like peak and a minimum, respectively. Developing the
modified spin-wave theory, we complement the numerical findings and give a
precise estimate of the low-temperature behavior.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 08:20:29 GMT""}]","2009-10-31"
"cond-mat/9806345",,"Y.V. Ivanenko, N. I. Lebovka and N. V. Vygornitskii","Eden growth model for aggregation of charged particles","Revtex, 9 pages with 12 postscript figures",,"10.1007/s100510050958",,"cond-mat.stat-mech",,"  The stochastic Eden model of charged particles aggregation in two-dimensional
systems is presented. This model is governed by two parameters: screening
length of electrostatic interaction, $\lambda $, and short range attraction
energy, $E$. Different patterns of finite and infinite aggregates are observed.
They are of following types of morphologies: linear or linear with bending,
warm-like, DBM (dense-branching morphology), DBM with nucleus, and compact
Eden-like. The transition between the different modes of growth is studied and
phase diagram of the growth structures is obtained in $\lambda, E $
co-ordinates. The detailed aggregate structure analysis, including analysis of
their fractal properties, is presented. The scheme of the internal
inhomogeneous structure of aggregates is proposed.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 13:10:17 GMT""}]","2009-10-31"
"cond-mat/9806346","Mike Kosterlitz","J.M. Kosterlitz and N. Akino (Dept. Physics, Brown University, USA)","Numerical Study of Order in a Gauge Glass Model","4 pages, 2 figures, revtex. Submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.81.4672","Brown University preprint","cond-mat.stat-mech",,"  The XY model with quenched random phase shifts is studied by a T=0 finite
size defect energy scaling method in 2d and 3d. The defect energy is defined by
a change in the boundary conditions from those compatible with the true ground
state configuration for a given realization of disorder. A numerical technique,
which is exact in principle, is used to evaluate this energy and to estimate
the stiffness exponent $\theta$. This method gives $\theta = -0.36\pm0.013$ in
2d and $\theta = +0.31\pm 0.015$ in 3d, which are considerably larger than
previous estimates, strongly suggesting that the lower critical dimension is
less than three. Some arguments in favor of these new estimates are given.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 13:52:52 GMT""}]","2009-10-31"
"cond-mat/9806347","Alexander Smirnov","A.I.Smirnov, V.N.Glazkov, L.I.Leonyuk, A.G.Vetkin, R.M.Eremina","Magnetic Resonance of the Intrinsic Defects of the Spin-Peierls Magnet
  CuGeO3","LATEX-text, 12 PS-figures, typos corrected, LATEX-style changed","Zh.Eksp.Teor.Fiz 114 1876 (1998) (JETP)","10.1134/1.558730","IPPRAS-98-02","cond-mat.str-el",,"  ESR of the pure monocrystals of CuGeO3 is studied in the frequency range 9-75
GHz and in the temperature interval 1.2-25 K. The splitting of the ESR line
into several spectral components is observed below 5 K, in the temperature
range where the magnetic susceptibility is suppressed by the spin-Peierls
dimerization. The analysis of the magnetic resonance signals allows one to
separate the signals of the S=1/2- and S=1 defects of the spin-Peierls phase.
The value of g-factor of these signals is close to that of the Cu-ion. The
additional line of the magnetic resonance is characterized by an anomalous
value of the g-factor and by the threshold-like increase of the microwave
susceptibility when the microwave power is increasing. The ESR signals are
supposingly attributed to two types of the planar magnetic defects, arising at
the boundaries of the domains of the spin-Peierls state with the different
values of the phase of the dimerization.
","[{""version"":""v1"",""created"":""Sun, 28 Jun 1998 14:37:31 GMT""},{""version"":""v2"",""created"":""Tue, 27 Oct 1998 13:43:52 GMT""}]","2009-10-31"
