"astro-ph/9812449","Andrzej A. Zdziarski","Andrzej A. Zdziarski (N. Copernicus Astronomical Center)","X-rays and soft gamma-rays from Seyferts, radio galaxies, and black-hole
  binaries","Invited review in: High Energy Processes in Accreting Black Holes,
  eds. Poutanen J., Svensson R., ASP Conf. Series 161, pp. 16-35 (1999)","1999, ASP COnf. Series 161, ed. J. Poutanen & R. Svensson (San
  Francisco: ASP), p. 16",,,"astro-ph",,"  Selected topics dealing with X-ray/soft gamma-ray emission from accreting
black-hole sources are reviewed. The shape of soft gamma-ray spectra of
Seyferts observed by OSSE can be well modelled by thermal Comptonization. A
very strong correlation between the X-ray slope and the strength of Compton
reflection in these sources can then be explained by thermal Comptonization in
vicinity of the reflecting cold media. Similar correlation is seen for the hard
state of black-hole binaries, but the strength of Compton reflection at a given
X-ray slope is larger than in Seyferts. This appears to be due to seed photons
(for Comptonization) emitted by the cold media having larger energies in
stellar-mass systems than in Seyferts. Broad-line radio galaxies have hard
X-ray spectra with weak reflection, which reflection is similar to that in
Seyferts with hard X-ray spectra. Two main models for the source geometry, a
hot inner disk surrounded by a cold outer disk, and a dynamic corona above a
cold disk, appear about equally viable based on the presently available data.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 14:21:21 GMT""},{""version"":""v2"",""created"":""Sun, 11 Jun 2000 09:40:40 GMT""}]","2007-05-23"
"cond-mat/9812400","Kenichiro Imura","Ken-ichiro Imura","Tunneling into fractional quantum Hall liquids","Latex, 5 pages","Europhys. Lett. 47 (2), pp. 233-239 (1999)","10.1209/epl/i1999-00377-0",,"cond-mat",,"  Motivated by the recent experiment by Grayson et.al., we investigate a
non-ohmic current-voltage characteristics for the tunneling into fractional
quantum Hall liquids. We give a possible explanation for the experiment in
terms of the chiral Tomonaga-Luttinger liquid theory. We study the interaction
between the charge and neutral modes, and found that the leading order
correction to the exponent $\alpha$ $(I\sim V^\alpha)$ is of the order of
$\sqrt{\epsilon}$ $(\epsilon=v_n/v_c)$, which reduces the exponent $\alpha$. We
suggest that it could explain the systematic discrepancy between the observed
exponents and the exact $\alpha =1/\nu$ dependence.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 10:07:12 GMT""},{""version"":""v2"",""created"":""Tue, 16 Feb 1999 09:44:55 GMT""}]","2009-10-31"
"cond-mat/9812402","Leonid Zhukov","L. E. Zhukov and M. E. Raikh","Chiral electromagnetic waves at the boundary of optical isomers: Quantum
  Cotton-Mouton effect","12 pages, 5 figures",,,,"cond-mat.mes-hall cond-mat.dis-nn",,"  We demonstrate that the boundary of two optical isomers with opposite
directions of the gyration vectors (both parallel to boundary) can support
propagation of electromagnetic wave in the direction perpendicular to the
gyration axes (Cotton-Mouton geometry). The components of electromagnetic field
in this wave decay exponentially into both media. The characteristic decay
length is of the order of the Faraday rotation length for the propagation along
the gyration axis. The remarkable property of the boundary wave is its
chirality. Namely, the wave can propagate only in one direction determined by
the relative sign of non-diagonal components of the dielectric tensor in
contacting media. We find the dispersion law of the boundary wave for the cases
of abrupt and smooth boundaries. We also study the effect of asymmetry between
the contacting media on the boundary wave and generalize the result to the case
of two parallel boundaries. Finally we consider the arrangement when the
boundaries form a random network. We argue that at a point, when this network
percolates, the corresponding boundary waves undergo quantum delocalization
transition, similar to the quantum Hall transition.
","[{""version"":""v1"",""created"":""Sat, 26 Dec 1998 18:49:45 GMT""}]","2007-05-23"
"cond-mat/9812403","Vahid Karimipor","V. Karimipour","Some general features of matrix product states in stochastic systems","23 pages, latex, revised, to appear in Jour. Phys. A; Math. Gen",,,,"cond-mat.stat-mech",,"  We will prove certain general relations in Matrix Product Ansatz for one
dimensional stochastic systems, which are true in both random and sequential
updates. We will derive general MPA expressions for the currents and current
correlators and find the conditions in the MPA formalism, under which the
correlators are site-independent or completely vanishing.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 08:23:30 GMT""},{""version"":""v2"",""created"":""Sat, 2 Jan 1999 16:40:26 GMT""},{""version"":""v3"",""created"":""Tue, 5 Jan 1999 09:46:16 GMT""},{""version"":""v4"",""created"":""Thu, 16 Dec 1999 08:57:25 GMT""}]","2007-05-23"
"cond-mat/9812404","Sumio Ishihara","Y.Endoh, H.Nojiri, K.Kaneko, K.Hirota, T.Fukuda, H.Kimura, Y.Murakami,
  S.Ishihara, S.Maekawa, S.Okamoto and M.Motokawa","Field Induced Transition from Metal to Insulator in the CMR Manganites","16 pages, 4 ps-figures, to appear in the proceedings of the 7th NEC
  symposium 'Phase Control in Spin-Charge-Orital Complex System' on
  Oct.11-15,1998, (Jour.Materials Science and Engineering B (Elsevier Science))",,,,"cond-mat.str-el cond-mat.mtrl-sci",,"  The gigantic reduction of the electric resistivity under the applied magnetic
field, CMR effect, is now widely accepted to appear in the vicinity of the
insulator to metal transition of the perovskite manganites. Recently, we have
discovered the first order transition from ferromagnetic metal to insulator in
$\rm La_{0.88}Sr_{0.12}MnO_3$ of the CMR manganite. This phase transition
induces the tremendous increase of the resistivity under the external magnetic
field just near above the phase transition temperature. We report here fairly
detailed results from the systematic experiments including neutron and
synchrotron X-ray scattering studies.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 09:11:00 GMT""}]","2007-05-23"
"cond-mat/9812405","Sumio Ishihara","S. Maekawa, S. Ishihara and S. Okamoto","Two Ferromagnetic States in Magnetoresistive Manganites - First Order
  Transition Driven by Orbitals -","15 pages, 7 ps-figures, to appear in the proceedings of a Conference
  on Physics of Manganites, held July 26-29 1998 at Michigan (Plenum Press)",,,,"cond-mat.str-el cond-mat.mtrl-sci",,"  A systematic study of the electronic structure in perovskite manganites is
presented. The effective Hamiltonian is derived by taking into account the
degeneracy of $e_g$ orbitals and strong electron correlation in Mn ions. The
spin and orbital orderings are examined as functions of carrier concentration
in the mean-field approximation applied to the effective Hamiltonian. We obtain
the first order phase transition between ferromagnetic metallic and
ferromagnetic insulating states in the lightly doped region. The transition is
accompanied with the orbital order-disorder one which is directly observed in
the anomalous X-ray scattering experiments. The present investigation shows a
novel role of the orbital degree of freedom on metal-insulator transition in
manganites.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 09:27:10 GMT""}]","2007-05-23"
"gr-qc/9812086","Mamdouh Wanas","F.I.Mikhail and M.I.Wanas","Hamilton's principle and the Generalized Field Theory : A comparative
  study","eleven pages latex file, the authors list is shortened",,,,"gr-qc",,"  The field equations of the generalized field theory (GFT) are derived from an
action principle. A comparison between (GFT), M\o ller's tetrad theory of
gravitation (MTT), and general relativity is carried out regarding the
Lagrangian of each theory. The results of solutions of the field equations, of
each theory, are compared in case of spherical symmetry. The differences
between the results are discussed and interpreted.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 09:00:37 GMT""}]","2007-05-23"
"hep-th/9812234","S. C. Woon","S.C. Woon (U. of Cambridge)","Introduction to Pseudo-Group","15 pages, 10 figures (17 eps files), LaTeX, \usepackage[dvips]",,,,"hep-th gr-qc math-ph math.GR math.MP quant-ph",,"  This paper introduces the idea of pseudo-group. Applications of pseudo-groups
in Group Theory and Symmetry Breaking in Particle Physics and Cosmology are
considered.
","[{""version"":""v1"",""created"":""Sat, 26 Dec 1998 20:27:10 GMT""}]","2007-05-23"
"math/9812147","S. C. Woon","S.C. Woon (U. of Cambridge)","A New Proof of a Theorem in Analysis by Generating Integrals and
  Fractional Calculus","14 pages, 2figures, LaTeX, \usepackage[dvips]",,,,"math.CA math.NT",,"  The idea of generating integrals analogous to generating functions is first
introduced in this paper. A new proof of the well-known Finite Harmonic Series
Theorem in Analysis and Analytical Number Theory is then obtained by the method
of Generating Integrals and Fractional Calculus. A generalization of the
Riemann zeta function up to non-integer order is derived.
","[{""version"":""v1"",""created"":""Sat, 26 Dec 1998 21:16:06 GMT""}]","2007-05-23"
"nucl-th/9812073",,"W. C. Haxton","Theoretical Issues in Neutrino Physics","Baryons '98 talk; 15 pages, 3 figures; latex Replacement contains
  updated references",,,,"nucl-th astro-ph hep-ph",,"  I review a number of the open questions about neutrino properties, critique
recent hints of neutrino mass, and discuss one recently proposed neutrino mass
matrix to illustrate the direction in which we may be headed. I also present
one example of the implications of these new developments for astrophysics.
","[{""version"":""v1"",""created"":""Sun, 27 Dec 1998 04:08:01 GMT""},{""version"":""v2"",""created"":""Fri, 1 Jan 1999 00:20:14 GMT""}]","2007-05-23"
